date,sentiment,daily_pnl,daily_volume,n_trades
2024-11-13,Extreme Greed,7846.402274,515336.37,48
2024-11-14,Extreme Greed,4563.509225,1008361.81,110
2024-11-15,Extreme Greed,4140.740438,1427858.42,149
2024-11-16,Extreme Greed,2769.521909,303296.07,157
2024-11-17,Extreme Greed,882.975285,1215987.57,209
2024-11-18,Extreme Greed,4470.815187,2084339.58,346
2024-11-19,Extreme Greed,2958.268991,628031.15,305
2024-11-20,Extreme Greed,4210.0928969999995,1999514.1199999999,550
2024-11-21,Extreme Greed,1692.430891,598300.62,535
2024-11-22,Extreme Greed,-18105.345617,1646713.62,679
2024-11-23,Extreme Greed,2901.531638,516245.68,363
2024-11-24,Extreme Greed,945.550386,664952.28,172
2024-11-25,Extreme Greed,5523.740734,937410.87,255
2024-11-26,Extreme Greed,1094.809359,1146902.44,302
2024-11-27,Extreme Greed,-2654.495633,1444242.53,213
2024-11-28,Extreme Greed,-127075.39958499999,1894225.15,332
2024-11-29,Extreme Greed,176844.994152,794262.91,393
2024-11-30,Extreme Greed,37316.69352,1732193.7,373
2024-12-01,Extreme Greed,40886.364494,814711.82,416
2024-12-02,Extreme Greed,18489.604313,585243.56,270
2024-12-03,Extreme Greed,23576.539285,1084666.53,374
2024-12-04,Extreme Greed,292891.815021,769287.65,319
2024-12-05,Extreme Greed,71574.11848800001,1256750.79,456
2024-12-06,Greed,-92624.643895,3471019.22,403
2024-12-07,Extreme Greed,85906.279067,451733.42,304
2024-12-08,Extreme Greed,15965.933436,932939.72,420
2024-12-09,Extreme Greed,6310.967676,983949.68,539
2024-12-10,Extreme Greed,39325.770231,3150424.08,1596
2024-12-11,Greed,319051.554217,2194098.33,1221
2024-12-12,Extreme Greed,599151.795008,4557189.87,1932
2024-12-13,Extreme Greed,31935.901745,2880824.64,1173
2024-12-14,Extreme Greed,167801.399244,2369561.78,1235
2024-12-15,Extreme Greed,97525.315279,2583269.81,1697
2024-12-16,Extreme Greed,166774.344133,2740808.97,1055
2024-12-17,Extreme Greed,219591.305172,5233597.63,1941
2024-12-18,Extreme Greed,13682.994673,3798887.07,1429
2024-12-19,Extreme Greed,62744.004486000005,8241709.39,3339
2024-12-20,Greed,254969.660039,7681274.71,2488
2024-12-21,Greed,150022.163157,4382875.12,1681
2024-12-22,Greed,352197.163973,3087320.22,774
2024-12-23,Greed,-29430.626577,6771878.26,2347
2024-12-24,Greed,14813.780116,1767036.11,338
2024-12-25,Greed,756.6570469999998,347889.35,208
2024-12-26,Extreme Greed,60228.639722,2205242.65,697
2024-12-27,Greed,2672.811035,347913.0,260
2024-12-28,Greed,940.673623,281555.01,161
2024-12-29,Greed,2884.067927,344628.54,201
2024-12-30,Greed,9009.738137,1073865.73,304
2024-12-31,Greed,5445.01281,877164.62,306
2025-01-01,Greed,-9528.065345,282582.1,96
2025-01-02,Greed,8716.519087,774674.84,361
2025-01-03,Greed,6028.486793,771208.99,508
2025-01-04,Greed,2553.537968,1826029.6199999999,371
2025-01-05,Greed,3187.719363,451943.57,239
2025-01-06,Extreme Greed,6064.185393,556526.99,573
2025-01-07,Extreme Greed,16098.227531,1313178.1,637
2025-01-08,Greed,130117.090554,3177275.18,1039
2025-01-09,Greed,46975.928902,1020733.25,522
2025-01-10,Neutral,-10116.875552,6547449.68,819
2025-01-11,Greed,2269.080536,1658098.71,283
2025-01-12,Greed,5742.241803,2258459.17,602
2025-01-13,Greed,9655.429352,2936648.0100000002,408
2025-01-14,Greed,16069.512355,876581.97,275
